id,standard,chapter_number,chapter_name,major_topic,subtopic,concept_tested,stem,option_a,option_b,option_c,option_d,correct_option,correct_answer_text,solution,formula_principle,common_misconception,difficulty,estimated_time,question_type,source_type,concept_family_id,family_size,syllabus_scope_status,generator_eligible_strict_cet,generator_eligible_extended_revision,review_status,syllabus_version,release_version
PHY-12-CH04-0086,12,4,Thermodynamics,PV Diagrams and Cyclic Processes,What must vanish over a cycle,Only dU is necessarily zero,"For a gas taken round any complete cycle, which quantity is necessarily zero?",The net heat exchanged with the surroundings,The change in internal energy,The net work done by the gas,The heat rejected to the cold reservoir,B,The change in internal energy,"Internal energy is a state function, so after a complete cycle it returns to its original value and its change is zero. Heat and work are path functions, and for a loop of finite area both the net heat and the net work are non zero and equal to each other.","Over a cycle every state function returns to its initial value, so dU = 0, while path functions need not vanish.","Students assume that everything returns to zero over a cycle, including the net work.",Hard,60 to 90 seconds,Conceptual Trap,ORIGINAL,CF-655c5e1d,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0087,12,4,Thermodynamics,PV Diagrams and Cyclic Processes,Two routes between the same states,Extra heat along the route with more work,A gas is taken from the state with pressure 3 x 10^5 Pa and volume 1 x 10^-3 m^3 to the state with pressure 1 x 10^5 Pa and volume 3 x 10^-3 m^3 by two routes. Route X is an expansion at the constant pressure 3 x 10^5 Pa followed by a fall of pressure at constant volume. Route Y is a fall of pressure at constant volume followed by an expansion at the constant pressure 1 x 10^5 Pa. The heat absorbed along route X exceeds that along route Y by,800 J,600 J,400 J,200 J,C,400 J,"Along route X the work is 3 x 10^5 x 2 x 10^-3 = 600 J, the constant volume stage contributing nothing. Along route Y the work is 1 x 10^5 x 2 x 10^-3 = 200 J. Since the end states are the same, dU is common, so the heat difference equals 600 minus 200 = 400 J.","dU is the same for both routes, so the difference in heat equals the difference in work.",Students expect the heat absorbed to be the same along both routes because the end states agree.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-a8da8126,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0088,12,4,Thermodynamics,PV Diagrams and Cyclic Processes,Direction of a cycle and the device,Anticlockwise cycles describe refrigerating devices,"A working substance is carried round a loop on a pressure volume diagram in the anticlockwise sense, and the loop encloses an area of 250 J. Over each cycle the device",delivers 250 J of net work and transfers heat from the hotter body to the colder body,takes in 250 J of net work and stores it as internal energy of the working substance,takes in 250 J of net work and transfers heat from the colder body to the hotter body,delivers 250 J of net work and stores an equal amount of heat in the colder body,C,takes in 250 J of net work and transfers heat from the colder body to the hotter body,"In an anticlockwise loop the compression branch lies above the expansion branch, so the surroundings do 250 J of net work on the substance each cycle. Since the internal energy is unchanged over a cycle, this work together with the heat drawn from the colder body is delivered to the hotter body. That is the operation of a refrigerator or heat pump.","Anticlockwise loop: net work is negative, so external work is supplied and heat is pumped from cold to hot.",Students read every closed loop as a heat engine without checking the sense of traversal.,Hard,60 to 90 seconds,Graph Concept,ORIGINAL,CF-fde5a12b,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0089,12,4,Thermodynamics,PV Diagrams and Cyclic Processes,Total heat absorbed in a cycle,Stage by stage analysis of a rectangular cycle,One sample of a monatomic ideal gas is taken clockwise round a rectangular cycle whose corners are at pressures 1 x 10^5 Pa and 3 x 10^5 Pa and volumes 1 x 10^-3 m^3 and 3 x 10^-3 m^3. The total heat absorbed by the gas during those stages in which it takes in heat is,400 J,1500 J,1800 J,1400 J,C,1800 J,"The four corner values of the product of pressure and volume are 100 J, 300 J, 900 J and 300 J. Heating at the fixed smaller volume gives dQ = (3/2)(300 minus 100) = 300 J. Expansion at 3 x 10^5 Pa gives dU = (3/2)(900 minus 300) = 900 J and W = 600 J, so dQ = 1500 J. The other two stages both reject heat. Hence the total heat taken in is 300 plus 1500 = 1800 J.","For each stage use dU = (3/2) d(P V) and dW = P dV, then dQ = dU + dW.",Students take the enclosed area as the heat absorbed rather than as the difference between heat absorbed and heat rejected.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-9b58ad40,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0090,12,4,Thermodynamics,PV Diagrams and Cyclic Processes,Triangular cycle,Net work from a triangular loop,"A gas is carried round a triangular cycle whose corners are at the states with pressure 1 x 10^5 Pa and volume 1 x 10^-3 m^3, pressure 3 x 10^5 Pa and volume 1 x 10^-3 m^3, and pressure 1 x 10^5 Pa and volume 3 x 10^-3 m^3, taken in that order and back to the first. The net work per cycle is",200 J done on the gas,400 J done by the gas,100 J done by the gas,200 J done by the gas,D,200 J done by the gas,"The triangle has a vertical side of height 2 x 10^5 Pa and a horizontal side of length 2 x 10^-3 m^3, so its area is one half of 2 x 10^5 x 2 x 10^-3 = 200 J. Along the sloping side the gas expands, doing (3 x 10^5 plus 1 x 10^5)/2 x 2 x 10^-3 = 400 J, and along the return at 1 x 10^5 Pa the surroundings do 200 J on the gas, leaving 200 J of net work done by the gas.",Net work equals the enclosed area; for a right triangle this is half the base times the height.,Students use the full rectangle area rather than half of it for a triangular loop.,Challenging,More than 90 seconds,Graph Concept,ORIGINAL,CF-2a69ec8f,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0091,12,4,Thermodynamics,Second Law and Heat Engines,Kelvin Planck statement,Second law in engine language,"According to the Kelvin Planck statement of the second law of thermodynamics, it is impossible to construct a device that, working in a cycle,",takes heat from a single reservoir and converts all of it into work,takes heat from a hot reservoir and converts part of it into work,takes in work and delivers heat to a hot reservoir,takes heat from a hot reservoir and rejects part of it to a cold reservoir,A,takes heat from a single reservoir and converts all of it into work,"A heat engine must reject some heat to a colder body. A device that drew heat from one reservoir alone and delivered an equal amount of work would have an efficiency of one, which the second law forbids.",Kelvin Planck: no cyclic device can convert heat from a single reservoir completely into work.,Students think the second law forbids converting any heat into work rather than converting all of it.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-91bfc6eb,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0092,12,4,Thermodynamics,Second Law and Heat Engines,Efficiency of a heat engine,eta = 1 minus Q2/Q1,A heat engine absorbs heat Q1 from a source and rejects heat Q2 to a sink in each cycle. Its efficiency is,1 minus Q1 divided by Q2,1 minus Q2 divided by Q1,Q2 divided by Q1,Q1 divided by (Q1 plus Q2),B,1 minus Q2 divided by Q1,"Over a cycle the internal energy is unchanged, so the net work is W = Q1 minus Q2. The efficiency is the ratio of this useful work to the heat drawn from the source, giving eta = (Q1 minus Q2) divided by Q1 = 1 minus Q2 divided by Q1.","eta = W divided by Q1 with W = Q1 minus Q2, so eta = 1 minus Q2/Q1.",Students invert the ratio of the two heats in the efficiency expression.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-7c8cd819,7,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0093,12,4,Thermodynamics,Second Law and Heat Engines,Parts of a heat engine,"Source, working substance and sink",Every heat engine working in a cycle must have,"a hot source and a working substance, with no need for a sink","a cold sink and a working substance, with no need for a source","a hot source, a working substance and a cold sink","a hot source and a cold sink, with no need for a working substance",C,"a hot source, a working substance and a cold sink","Heat is drawn from the source, part of it is converted into work by the working substance, and the remainder must be given to a sink at a lower temperature so that the working substance can return to its initial state.",A heat engine needs two reservoirs at different temperatures and a working substance taken round a cycle.,Students think that a sufficiently well designed engine can dispense with the sink.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-b28ebb89,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0094,12,4,Thermodynamics,Second Law and Heat Engines,Clausius statement,Second law in refrigerator language,"The Clausius statement of the second law of thermodynamics says that it is impossible for a self acting device, working in a cycle and unaided by any external agency, to",transfer heat from a colder body to a hotter body,transfer heat from a hotter body to a colder body,convert work completely into heat,keep two bodies at different temperatures in permanent contact,A,transfer heat from a colder body to a hotter body,"A refrigerator does move heat from a colder region to a warmer one, but only because external work is supplied by the compressor. Without that external agency the transfer is impossible.",Clausius: heat cannot flow on its own from a colder to a hotter body without external work.,Students think the Clausius statement forbids refrigerators altogether.,Medium,30 to 60 seconds,Direct Concept,ORIGINAL,CF-3d08cb48,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0095,12,4,Thermodynamics,Second Law and Heat Engines,Efficiency from the two heats,Computing eta and W,In each cycle a heat engine absorbs 500 J from a source and rejects 300 J to a sink. Its efficiency and the work obtained per cycle are,40 per cent and 200 J,60 per cent and 300 J,40 per cent and 300 J,66.7 per cent and 200 J,A,40 per cent and 200 J,"The work per cycle is 500 minus 300 = 200 J. The efficiency is 200 divided by 500 = 0.4, that is 40 per cent.",W = Q1 minus Q2 and eta = W divided by Q1.,Students divide the work by the rejected heat instead of by the heat absorbed.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-7c8cd819,7,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0096,12,4,Thermodynamics,Second Law and Heat Engines,Why efficiency is less than one,Necessity of rejecting heat,The efficiency of a practical heat engine is always less than one because,the first law of thermodynamics forbids the complete conversion of heat into work,some heat must always be rejected to the sink for the cycle to be completed,the work done by the engine is always stored partly as internal energy of the gas,the heat absorbed from the source is always smaller than the work obtained,B,some heat must always be rejected to the sink for the cycle to be completed,"For the working substance to return to its initial state, part of the absorbed heat must be given up to a colder body. Since Q2 is never zero, the efficiency 1 minus Q2 divided by Q1 is always less than one. This restriction comes from the second law, not from the first.","eta = 1 minus Q2/Q1 with Q2 greater than zero, a requirement of the second law.",Students attribute the limitation on efficiency to the first law or to friction alone.,Medium,30 to 60 seconds,Conceptual Trap,ORIGINAL,CF-9f7fcba5,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0097,12,4,Thermodynamics,Second Law and Heat Engines,Work and rejected heat from efficiency,Using eta to find W and Q2,An engine of efficiency 25 per cent absorbs 800 J of heat in each cycle. The work done and the heat rejected per cycle are,600 J and 200 J,200 J and 800 J,320 J and 480 J,200 J and 600 J,D,200 J and 600 J,The work per cycle is 0.25 x 800 = 200 J. The heat rejected is 800 minus 200 = 600 J.,W = eta Q1 and Q2 = Q1 minus W.,Students apply the efficiency to the rejected heat instead of to the absorbed heat.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-7c8cd819,7,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0098,12,4,Thermodynamics,Second Law and Heat Engines,Relation between the two laws,Second law adds a restriction the first law does not,"A machine is proposed that in each cycle draws 500 J of heat from the sea and delivers 500 J of work, rejecting nothing. Such a machine",violates the first law but satisfies the second law,satisfies the first law but violates the second law,violates both the first law and the second law,satisfies both laws and can in principle be built,B,satisfies the first law but violates the second law,"The proposal balances energy exactly, so the first law is respected. However it uses only one reservoir and rejects no heat, so its efficiency would be one, which the Kelvin Planck statement of the second law forbids. Such a device is called a perpetual motion machine of the second kind.","Kelvin Planck rules out complete conversion of heat from a single reservoir into work, even though energy is conserved.",Students look only at the energy balance and conclude that the machine is possible.,Medium,30 to 60 seconds,Statement Based,ORIGINAL,CF-cf80594f,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0099,12,4,Thermodynamics,Second Law and Heat Engines,Role of the sink,Why heat is rejected in every cycle,"In a heat engine, the purpose served by rejecting heat to the sink is that it",increases the work obtained from the engine in each cycle,keeps the internal energy of the working substance rising steadily,brings the working substance back to its initial state so that the cycle can repeat,compensates for the energy lost as friction in the moving parts,C,brings the working substance back to its initial state so that the cycle can repeat,"After expanding and doing work the working substance must be brought back to its starting state before the next cycle. Compressing it along the same path would use up all the work gained, so it is compressed at a lower temperature, which requires heat to be given up to the sink.","A cyclic device must restore its working substance to the initial state, which requires rejecting heat.",Students see the rejected heat purely as an avoidable practical loss rather than a necessity of cyclic operation.,Medium,30 to 60 seconds,Application Based,ORIGINAL,CF-7740734c,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0100,12,4,Thermodynamics,Second Law and Heat Engines,Heat input from work and efficiency,Reversing the efficiency relation,An engine of efficiency 25 per cent delivers 300 J of work in each cycle. The heat absorbed from the source and the heat rejected to the sink per cycle are,1200 J and 900 J,1200 J and 1500 J,400 J and 100 J,75 J and negative 225 J,A,1200 J and 900 J,The heat absorbed is 300 divided by 0.25 = 1200 J. The heat rejected is 1200 minus 300 = 900 J.,Q1 = W divided by eta and Q2 = Q1 minus W.,Students multiply the work by the efficiency instead of dividing by it.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-7c8cd819,7,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0101,12,4,Thermodynamics,Second Law and Heat Engines,Efficiency from work and rejected heat,Finding eta when Q2 and W are given,In each cycle an engine delivers 200 J of work and rejects 300 J of heat to the sink. Its efficiency is,66.7 per cent,60 per cent,20 per cent,40 per cent,D,40 per cent,"The heat absorbed must be 200 plus 300 = 500 J. Hence the efficiency is 200 divided by 500 = 0.4, that is 40 per cent.","Q1 = W plus Q2, then eta = W divided by Q1.",Students take the rejected heat as the heat input when computing the efficiency.,Hard,60 to 90 seconds,Numerical,ORIGINAL,CF-7c8cd819,7,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0102,12,4,Thermodynamics,Second Law and Heat Engines,Equivalence of the two statements,Kelvin Planck and Clausius are equivalent,Suppose a device existed that could take heat from a single reservoir and convert all of it into work. Coupling this device to an ordinary refrigerator would then make it possible to,"create energy out of nothing, contradicting the first law",build a refrigerator whose coefficient of performance is exactly one,raise the efficiency of the refrigerator above that of a Carnot engine working between the same temperatures,"move heat from a colder body to a hotter body with no external work, contradicting the Clausius statement",D,"move heat from a colder body to a hotter body with no external work, contradicting the Clausius statement","The work produced by the hypothetical device could be fed straight into the refrigerator, which would then pump heat from the cold body to the hot body. The net result of the combination would be a transfer of heat from cold to hot with no external agency, which the Clausius statement forbids. Hence violating one statement violates the other.",The Kelvin Planck and Clausius statements of the second law imply each other.,Students treat the two statements as unrelated assertions rather than as equivalent forms of one law.,Hard,60 to 90 seconds,Statement Based,ORIGINAL,CF-59149c9c,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0103,12,4,Thermodynamics,Second Law and Heat Engines,Power of an engine,Rate of heat intake from work per cycle,An engine of efficiency 20 per cent completes 10 cycles per second and delivers 400 J of work in each cycle. The rate at which it absorbs heat from the source is,4 kW,800 W,16 kW,20 kW,D,20 kW,"The mechanical power is 400 x 10 = 4000 W. Since the efficiency is 0.2, the rate of heat intake is 4000 divided by 0.2 = 20000 W, that is 20 kW. The rate of heat rejection is then 16 kW.",Power output = W times cycles per second; heat input rate = power output divided by eta.,Students report the mechanical power when asked for the rate of heat intake.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-7c8cd819,7,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0104,12,4,Thermodynamics,Second Law and Heat Engines,Direction of natural processes,Irreversibility,A drop of ink spreads through a glass of water but is never observed to gather back into a drop. This one way character of the process is accounted for by,the second law of thermodynamics,the first law of thermodynamics,the zeroth law of thermodynamics,the law of conservation of linear momentum,A,the second law of thermodynamics,"Gathering the spread ink back into a drop would not create or destroy any energy, so the first law permits it. The second law, through the requirement that disorder in an isolated system does not decrease, is what makes the process one way.",The second law selects a preferred direction for natural processes; energy conservation alone does not.,Students think energy conservation alone explains why processes run one way.,Hard,60 to 90 seconds,Application Based,ORIGINAL,CF-4ee5b3f7,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0105,12,4,Thermodynamics,Second Law and Heat Engines,Engine performance rates,"Combining efficiency, cycles and heat rates",An engine takes in 1000 J of heat in each cycle at an efficiency of 30 per cent and runs at 5 cycles per second. The mechanical power delivered and the rate at which heat is rejected are,300 W and 700 W,1500 W and 5000 W,3500 W and 1500 W,1500 W and 3500 W,D,1500 W and 3500 W,"Per cycle the work is 0.3 x 1000 = 300 J and the heat rejected is 700 J. At 5 cycles per second the power delivered is 300 x 5 = 1500 W and the rate of heat rejection is 700 x 5 = 3500 W. The total heat intake rate is 5000 W, which balances the two.",Power = eta Q1 times cycles per second; heat rejection rate = (1 minus eta) Q1 times cycles per second.,Students give per cycle values when a rate is asked for.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-3db13aa1,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0106,12,4,Thermodynamics,Second Law and Heat Engines,Two engines in series,Overall efficiency of a compound arrangement,"The heat rejected by an engine of efficiency 40 per cent is fed entirely to a second engine of efficiency 25 per cent. If the first engine takes in 1000 J, the total work delivered by the two engines together is",550 J,650 J,400 J,500 J,A,550 J,"The first engine delivers 0.4 x 1000 = 400 J and rejects 600 J. The second engine receives 600 J and delivers 0.25 x 600 = 150 J. The total work is 400 plus 150 = 550 J, so the overall efficiency of the pair is 55 per cent.",Work of each stage is its efficiency times the heat it receives; the second stage receives the heat rejected by the first.,Students add the two efficiencies directly instead of applying the second one to the heat actually passed on.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-9e7f4534,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0107,12,4,Thermodynamics,Carnot Cycle,Carnot efficiency,eta = 1 minus T2/T1,A Carnot engine works between a source at absolute temperature T1 and a sink at absolute temperature T2. Its efficiency is,1 minus T1 divided by T2,1 minus T2 divided by T1,T2 divided by T1,(T1 minus T2) divided by T2,B,1 minus T2 divided by T1,In a Carnot cycle the ratio of the heats exchanged equals the ratio of the absolute temperatures of the two reservoirs. Substituting this into eta = 1 minus Q2 divided by Q1 gives eta = 1 minus T2 divided by T1.,"For a Carnot cycle Q2 divided by Q1 equals T2 divided by T1, so eta = 1 minus T2/T1.",Students invert the temperature ratio or put the sink temperature in the denominator.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-29ce8f17,3,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0108,12,4,Thermodynamics,Carnot Cycle,Numerical Carnot efficiency,Efficiency from two absolute temperatures,A Carnot engine operates between a source at 500 K and a sink at 300 K. Its efficiency is,60 per cent,66.7 per cent,25 per cent,40 per cent,D,40 per cent,"Here eta = 1 minus 300 divided by 500 = 1 minus 0.6 = 0.4, that is 40 per cent.",eta = 1 minus T2 divided by T1 with both temperatures in kelvin.,Students report the ratio T2 divided by T1 as the efficiency.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-29ce8f17,3,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0109,12,4,Thermodynamics,Carnot Cycle,Temperatures must be absolute,Converting celsius to kelvin,A Carnot engine works between a source at 127 degree celsius and a sink at 27 degree celsius. Its efficiency is,78.7 per cent,21.3 per cent,75 per cent,25 per cent,D,25 per cent,"The source is at 127 plus 273 = 400 K and the sink at 27 plus 273 = 300 K. Then eta = 1 minus 300 divided by 400 = 0.25, that is 25 per cent.",eta = 1 minus T2/T1 with T in kelvin; T in kelvin equals the celsius reading plus 273.,Students substitute celsius readings straight into the Carnot efficiency expression.,Medium,30 to 60 seconds,Conceptual Trap,ORIGINAL,CF-29ce8f17,3,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0110,12,4,Thermodynamics,Carnot Cycle,Stages of the cycle,Two isothermal and two adiabatic stages,The Carnot cycle consists of,two isobaric stages and two isochoric stages taken alternately,two isothermal stages and two adiabatic stages taken alternately,two isothermal stages and two isochoric stages taken alternately,two adiabatic stages and two isobaric stages taken alternately,B,two isothermal stages and two adiabatic stages taken alternately,"Heat is taken in only during the isothermal expansion at the source temperature and given out only during the isothermal compression at the sink temperature. The two adiabatic stages carry the working substance between the two temperatures without any heat exchange, which keeps the cycle reversible.","Carnot cycle: isothermal expansion, adiabatic expansion, isothermal compression, adiabatic compression.",Students describe the Carnot cycle as a rectangle of isobars and isochors.,Medium,30 to 60 seconds,Direct Concept,ORIGINAL,CF-67149a5e,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0111,12,4,Thermodynamics,Carnot Cycle,Finding a reservoir temperature,Reversing the efficiency relation,"A Carnot engine with its sink at 300 K has an efficiency of 50 per cent. To raise the efficiency to 60 per cent while keeping the same sink, the source temperature must be raised from",600 K to 720 K,500 K to 750 K,600 K to 750 K,600 K to 900 K,C,600 K to 750 K,"For an efficiency of 0.5 the source must satisfy 300 divided by T1 = 0.5, so T1 = 600 K. For an efficiency of 0.6 we need 300 divided by T1 = 0.4, so T1 = 750 K. The source temperature must therefore be raised from 600 K to 750 K.",T1 = T2 divided by (1 minus eta).,Students scale the source temperature in proportion to the required efficiency.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-45dd00e6,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0112,12,4,Thermodynamics,Carnot Cycle,Why complete conversion is impossible,Efficiency one needs a sink at absolute zero,A Carnot engine could have an efficiency of 100 per cent only if,"its sink were at the absolute zero of temperature, which cannot be attained","its source were at the absolute zero of temperature, which cannot be attained",its working substance had no friction and no heat leaked from the cylinder,the source and the sink were at the same temperature,A,"its sink were at the absolute zero of temperature, which cannot be attained","The Carnot efficiency reaches one only when the sink temperature T2 is zero on the absolute scale. Since absolute zero cannot be reached, no engine, however perfectly built, can convert the whole of the absorbed heat into work.","eta = 1 minus T2/T1 equals one only if T2 = 0 K, which is unattainable.",Students believe perfect engineering and zero friction would allow 100 per cent efficiency.,Hard,60 to 90 seconds,Conceptual Trap,ORIGINAL,CF-fba8f9dd,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0113,12,4,Thermodynamics,Carnot Cycle,Heat exchanges in a Carnot cycle,Ratio of heats equals ratio of temperatures,A Carnot engine working between 500 K and 300 K absorbs 1000 J of heat from the source in each cycle. The work done and the heat rejected per cycle are,400 J and 600 J,600 J and 400 J,400 J and 1000 J,500 J and 500 J,A,400 J and 600 J,"The efficiency is 1 minus 300 divided by 500 = 0.4. So the work is 0.4 x 1000 = 400 J and the heat rejected is 1000 minus 400 = 600 J. As a check, Q2 divided by Q1 = 600 divided by 1000 = 0.6, which equals T2 divided by T1.","eta = 1 minus T2/T1, W = eta Q1, and Q2 = Q1 minus W.",Students compute the efficiency correctly but then assign the larger share to the work.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-7c8cd819,7,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0114,12,4,Thermodynamics,Carnot Cycle,Raising source against lowering sink,Which change helps more,"A Carnot engine works between a source at 500 K and a sink at 300 K. Consider raising the source temperature by 50 K and, as an alternative, lowering the sink temperature by 50 K. Compared with the original efficiency of 40 per cent, these two changes give","about 45.5 per cent and 50 per cent respectively, so lowering the sink helps more","about 50 per cent and 45.5 per cent respectively, so raising the source helps more","50 per cent in both cases, since the temperature difference is the same either way","about 45.5 per cent in both cases, since only the ratio of the change to the source matters",A,"about 45.5 per cent and 50 per cent respectively, so lowering the sink helps more","Raising the source gives eta = 1 minus 300 divided by 550 = 1 minus 0.545 = 0.455, about 45.5 per cent. Lowering the sink gives eta = 1 minus 250 divided by 500 = 1 minus 0.5 = 0.5, that is 50 per cent. Hence lowering the sink temperature by a given amount is the more effective of the two changes.",eta = 1 minus T2/T1; changing T2 alters both the numerator and the denominator of the ratio while changing T1 alters only the denominator.,Students assume that equal changes in the two temperatures must produce equal gains in efficiency because the difference is the same.,Challenging,More than 90 seconds,Comparison Based,ORIGINAL,CF-4f37f7ce,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0115,12,4,Thermodynamics,Refrigerator and Heat Pump,Coefficient of performance,Definition of the coefficient of performance,The coefficient of performance of a refrigerator is defined as the ratio of,the work supplied to the heat removed from the cold body,the heat removed from the cold body to the work supplied,the heat delivered to the hot body to the heat removed from the cold body,the heat removed from the cold body to the heat delivered to the hot body,B,the heat removed from the cold body to the work supplied,"The useful effect of a refrigerator is the heat drawn out of the cold interior, and the cost is the work supplied by the compressor. The coefficient of performance is therefore the ratio of that heat to that work, and unlike an efficiency it can exceed one.","Coefficient of performance = Q2 divided by W, where Q2 is the heat drawn from the cold body.",Students define the coefficient of performance as an efficiency and expect it to be less than one.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-ffa175b2,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0116,12,4,Thermodynamics,Refrigerator and Heat Pump,Ideal coefficient of performance,COP = T2 divided by (T1 minus T2),An ideal refrigerator keeps its interior at 270 K while rejecting heat to a room at 300 K. Its coefficient of performance is,10,0.9,0.1,9,D,9,"Here T2 = 270 K and T1 minus T2 = 30 K, so the coefficient of performance is 270 divided by 30 = 9. For every joule of work supplied, 9 J of heat is drawn from the interior.","For an ideal refrigerator, coefficient of performance = T2 divided by (T1 minus T2).","Students place the hot reservoir temperature in the numerator, which belongs to a heat pump.",Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-7bd74b8a,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0117,12,4,Thermodynamics,Refrigerator and Heat Pump,Link with engine efficiency,COP = (1 minus eta) divided by eta,"A Carnot engine working between two reservoirs has an efficiency of 20 per cent. If the same cycle is run in reverse as a refrigerator between the same two reservoirs, its coefficient of performance is",5,4,0.25,0.8,B,4,"With eta = 0.2, the ratio Q2 divided by Q1 is 0.8 and W divided by Q1 is 0.2. Hence the coefficient of performance is 0.8 divided by 0.2 = 4.",Coefficient of performance of a refrigerator = Q2 divided by W = (1 minus eta) divided by eta.,"Students quote the reciprocal of the efficiency, which is the heat pump value and exceeds the refrigerator value by one.",Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-02d23b7e,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-12-CH04-0118,12,4,Thermodynamics,Refrigerator and Heat Pump,Heat rejected by a refrigerator,Energy balance in a reversed cycle,In each cycle a refrigerator removes 300 J of heat from its cold interior while 100 J of work is supplied to it. Its coefficient of performance and the heat delivered to the room per cycle are,3 and 300 J,0.33 and 400 J,3 and 400 J,4 and 400 J,C,3 and 400 J,"The coefficient of performance is 300 divided by 100 = 3. Since the internal energy of the working substance is unchanged over a cycle, the heat delivered to the room is 300 plus 100 = 400 J.",Coefficient of performance = Q2 divided by W; energy balance gives Q1 = Q2 plus W.,Students forget that the work supplied also ends up as heat delivered to the room.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-7d18ca7f,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
